


  Parameter Estimation, Reach #  1
  --------------------------------

   Dispersion      X-sect.      Storage       Storage  
     Coeff.         Area       Zone Area        Rate   
  4.02711E-01   4.81515E+01   1.43993E+01   1.66832E-04
  4.02711E-01   4.81515E+01   1.43993E+01   1.66833E-04
  4.02711E-01   4.81515E+01   1.43993E+01   1.66832E-04
  4.02793E-01   4.81515E+01   1.43993E+01   1.66832E-04
  4.02711E-01   4.81515E+01   1.43993E+01   1.66832E-04
  4.02711E-01   4.81515E+01   1.43993E+01   1.66832E-04
  4.02711E-01   4.81515E+01   1.43993E+01   1.66833E-04


  Estimated Parameters, Reach #  2
  --------------------------------

   Dispersion      X-sect.      Storage       Storage  
     Coeff.         Area       Zone Area        Rate   
  ------------------------------------------------------------
  4.02711E-01   4.81515E+01   1.43993E+01   1.66832E-04
